n,activiteitnaam,type,bewindspersoon,subtitel,datum
1,Stuurgroep Schone Lucht Akkoord,"
  Bestuurlijk overleg ", Vivianne Heijnen,NA,24-03-2022
2,Gesprek met Oostenrijke staatssecretaris jeugd,"
  Gesprek ", Maarten van Ooijen,"Staatsecretaris Van Ooijen spreekt met Claudia Plakolm, staatssecretaris jeugd van Oostenrijk.
",24-03-2022
3,Kennismaking konijnenhouderij,"
  Gesprek ", Henk Staghouwer,NA,24-03-2022
4,Kennismaking met Belgische minister Mobiliteit,"
  Gesprek ", Vivianne Heijnen,NA,24-03-2022
5,Commissiedebat Belastingdienst,"
  Kamervergadering ", Marnix van Rij,NA,24-03-2022
6,Bestuurlijke Startbijeenkomst Regie op de Woningbouw met IPO en VNG,"
  Bestuurlijk overleg ", Hugo de Jonge,"Minister De Jonge neemt deel aan de Bestuurlijke Startbijeenkomst Regie op de Woningbouw met IPO en VNG uitvoering programma ...
",24-03-2022
7,Afsluiten programma Niet Actief Beveiligde Overweg (NABO),"
  Evenement ", Vivianne Heijnen,"Staatssecretaris Heijnen is aanwezig bij de opening van de R. J. Cammocktunnel. De tunnel, die een niet actief beveiligde overweg ...
",24-03-2022
8,Periodiek overleg minister IenW,"
  Gesprek ", Christophe van der Maat,"Staatssecretaris Van der Maat (Defensie) heeft een periodiek overleg met minister Harbers (IenW).
",24-03-2022
9,Bestuurlijk overleg Hybride en NIP met Aedes en VNG,"
  Bestuurlijk overleg ", Hugo de Jonge,"Minister De Jonge heeft een bestuurlijk overleg met Aedes en VNG over Hybride en Nationaal Isolatieprogramma.
",24-03-2022
10,Plenaire behandeling wetsvoorstel Wet wettelijke taken internationalisering onderwijs,"
  Kamervergadering ", Robbert Dijkgraaf,NA,24-03-2022
11,Diverse gesprekken,"
  Gesprek ", Hugo de Jonge,"Minister De Jonge heeft diverse gesprekken: een kennismakingsgesprek met Cody Hochstenbach, Stadsgeograaf aan de Universiteit van ...
",24-03-2022
12,Themadag Granen,"
  Werkbezoek ", Henk Staghouwer,NA,24-03-2022
13,Opening vernieuwd station Geldermalsen,"
  Evenement ", Vivianne Heijnen,NA,24-03-2022
14,Werkbezoek aan Defensie CBRN Centrum,"
  Werkbezoek ", Christophe van der Maat,"Staatssecretaris Van der Maat (Defensie) brengt een werkbezoek aan het Defensie CBRN Centrum.
",24-03-2022
15,Commissiedebat Humanitaire situatie Oekraïne,"
  Kamervergadering ", Liesje Schreinemacher,"Minister Schreinemacher neemt in de Tweede Kamer deel aan het commissiedebat over de humanitaire situatie in Oekraïne.
",24-03-2022
16,Extra NAVO top,"
  Internationale bijeenkomst "," Mark Rutte, Wopke Hoekstra, Kajsa Ollongren","Minister-president Rutte, mister Hoekstra en minister Ollongren zijn aanwezig bij de extra NAVO top vanwege de oorlog in Oekraïne.
",24-03-2022
17,Landbouw en de ritmiek en taakstelling van de horizontale en provinciale arrangementen met mede-overheden,"
  Gesprek ", Henk Staghouwer,NA,24-03-2022
18,Debat over het rapport van de Tijdelijke Uitvoeringsorganisaties 'Klem tussen balie en beleid',"
  Kamervergadering ", Alexandra van Huffelen,NA,24-03-2022
19,Kennismaking met DNB,"
  Gesprek ", Marnix van Rij,"Staatssecretaris Van Rij maakt kennis met de president van De Nederlandsche Bank, Klaas Knot.
",24-03-2022
20,"Bestuurlijk overleg langetermijnstrategie corona, met sociale partners","
  Bestuurlijk overleg "," Micky Adriaansens, Ernst Kuipers","Minister Kuipers en minister Adriaansens spreken de minister van SZW en sociale partners over de langetermijnstrategie.
",24-03-2022
21,Overleg met de G4 gemeenten,"
  Bestuurlijk overleg ", Dennis Wiersma,"Overleg met de wethouders en directeuren Onderwijs van de G4 gemeenten over de onderwerpen kansengelijkheid, voorscholen, ...
",24-03-2022
22,Bewindspersonenoverleg hoger onderwijs en wetenschap,"
  Gesprek ", Robbert Dijkgraaf,"Minister Dijkgraaf spreekt met minister Harbers en minister Kuipers over een concept van de hoofdlijnenbrief hoger onderwijs en ...
",24-03-2022
23,Commissiedebat Verloop SDE++,"
  Kamervergadering ", Rob Jetten,NA,24-03-2022
24,Overleg met voorzitter Uitvoeringsoverleg Elektriciteit,"
  Gesprek ", Rob Jetten,NA,24-03-2022
25,Regulier gesprek met president van De Nederlandsche Bank,"
  Gesprek ", Sigrid Kaag,NA,24-03-2022
26,Commissiedebat leefstijlpreventie,"
  Kamervergadering ", Maarten van Ooijen,NA,24-03-2022
27,Gesprek met Poolse minister van infrastructuur,"
  Gesprek ", Mark Harbers,"Minister Harbers spreekt met Poolse minister Adamczyk over de situatie Oekraïne.
",24-03-2022
28,Gesprek met cliënten die gebruik maken van het PGB2.0-portaal,"
  Gesprek ", Conny Helder,NA,24-03-2022
29,Werkbezoek Boerderij van de toekomst,"
  Werkbezoek ", Henk Staghouwer,NA,24-03-2022
30,Bouwberaad,"
  Bestuurlijk overleg ", Hugo de Jonge,"Minister De Jonge neemt deel aan het Bouwberaad over de Nationale Woon- en Bouwagenda en Human Capital.
",24-03-2022
31,Werkbezoek Slimme Zorg Estafette,"
  Werkbezoek ", Ernst Kuipers,"Minister Kuipers bezoekt het Antonius Ziekenhuis in het kader van de Slimme Zorg Estafette.
",24-03-2022
32,Kennismaking met toerismesector,"
  Gesprek ", Micky Adriaansens,NA,24-03-2022
33,Werkbezoek aan Logius,"
  Werkbezoek ", Alexandra van Huffelen,"Staatssecretaris Van Huffelen brengt een werkbezoek aan Logius in het kader van dienstverlening aan publieke organisaties zodat ...
",24-03-2022
34,Kennismaking met co-founder ONL voor ondernemers,"
  Gesprek ", Micky Adriaansens,NA,24-03-2022
35,Kennismaking met lid EP Azmani,"
  Gesprek ", Christophe van der Maat,"Staatssecretaris Van der Maat (Defensie) heeft een kennismaking met de heer Azmani, lid van het Europees Parlement (EP).
",24-03-2022
36,Lustrumsymposium Wetenschappelijke Raad voor het Regeringsbeleid,"
  Evenement ", Robbert Dijkgraaf,"Minister Dijkgraaf woont het lustrumsymposium van de WRR bij.
",24-03-2022
37,Kennismaking met Royal IHC,"
  Gesprek ", Marnix van Rij,NA,24-03-2022
38,Europese Raad,"
  Internationale bijeenkomst ", Mark Rutte,NA,24-03-2022
40,Kennismaken met voorzitter Sociaal-Economische Raad (SER),"
  Gesprek ", Micky Adriaansens,NA,24-03-2022
41,Tweeminutendebat EU-Gezondheidsraad,"
  Kamervergadering ", Ernst Kuipers,NA,24-03-2022
42,Kennismakingsgesprek journalisten Nieuwsuur,"
  Gesprek ", Mark Harbers,NA,24-03-2022
43,Inontvangstname Cluster Energie Strategie van het 6e industriecluster,"
  Gesprek ", Rob Jetten,"In aanwezigheid van de CEO Sappi Maastricht, directeur Koninklijke VNP, CEO Royal Cosun en directeur Federatie Nederlandse ...
",24-03-2022
44,Handelsmissie Oman en de Verenigde Arabische Emiraten,"
  Handelsmissie ", Liesje Schreinemacher,"Minister Schreinemacher brengt een bezoek aan Oman en de Verenigde Arabische Emiraten in het kader van de Dubai Expo 2020 en de ...
",23-03-2022
45,Kennismaking president Algemene Rekenkamer,"
  Gesprek ", Christophe van der Maat,"Staatssecretaris Van der Maat (Defensie) heeft een kennismaking met de president van de Algemene Rekenkamer.
",23-03-2022
46,Kennismaking voorzitter Tweede Kamer,"
  Gesprek "," Robbert Dijkgraaf, Dennis Wiersma, Gunay Uslu","Minister Dijkgraaf maakt kennis met de voorzitter van de Tweede Kamer samen met minister Wiersma en staatssecretaris Uslu.
",23-03-2022
47,Bestuurlijk overleg Vleeskalverketen,"
  Bestuurlijk overleg ", Henk Staghouwer,NA,23-03-2022
48,Commissiedebat Regeldruk,"
  Kamervergadering ", Micky Adriaansens,NA,23-03-2022
49,Werkbezoek aan een huisvestingsproject rondom Oekraïne,"
  Werkbezoek ", Hugo de Jonge,"Minister De Jonge brengt een werkbezoek aan een huisvestingsproject rondom Oekraïne.
",23-03-2022
50,Gesprek met minister-president van Sint Maarten,"
  Gesprek ", Wopke Hoekstra,"Minister Hoekstra spreekt met Silveria Jacobs, minister-president van Sint Maarten.
",23-03-2022
51,Kennismaking met Nationaal Rapporteur Mensenhandel,"
  Ontvangst ", Maarten van Ooijen,"Minister Weerwind en staatssecretaris Van Ooijen spreken met de Nationaal Rapporteur mensenhandel.
",23-03-2022
52,"Kennismaking met minister van Financiën Zweden, Mikael Damberg","
  Gesprek ", Sigrid Kaag,"Minister Kaag maakt kennis met de Zweedse minister van Financiën en spreekt over de economische gevolgen van de situatie in ...
",23-03-2022
53,Inontvangstname boek VerpleegThuis,"
  Gesprek ", Mark Rutte,NA,23-03-2022
54,Kennismaking met Onderwijsraad en inontvangstname advies ‘Extern Toezicht’,"
  Gesprek ", Dennis Wiersma,"Minister Wiersma heeft een kennismakingsgesprek en neemt het advies ‘Extern Toezicht’ in ontvangst. Voorafgaand heeft de minister ...
",23-03-2022
55,Ontvangst minister-president van Curaçao,"
  Gesprek ", Mark Rutte,NA,23-03-2022
56,Verzamel commissiedebat BES,"
  Kamervergadering ", Alexandra van Huffelen,NA,23-03-2022
57,Gesprek met Tweede Kamerleden Bontenbal en Pieter Grinwis,"
  Gesprek ", Hugo de Jonge,"Minister De Jonge heeft een gesprek met Tweede Kamerleden Bontenbal en Pieter Grinwis over het Nationaal Isolatieprogramma.
",23-03-2022
58,Onderraden en ministeriële overleggen,"
  Ministerraad, onderraad, ministerieel overleg "," Mark Rutte, Wopke Hoekstra, Robbert Dijkgraaf, Henk Staghouwer, Ernst Kuipers, Rob Jetten, Alexandra van Huffelen, Christophe van der Maat",NA,23-03-2022
59,Gesprek met Eerste Minister België,"
  Gesprek ", Mark Rutte,"Minister-president Rutte heeft een gesprek met Eerste Minister De Croo van België. 
",23-03-2022
60,Tweeminutendebat Hoofdlijnen,"
  Kamervergadering ", Micky Adriaansens,NA,23-03-2022
61,Kennismaking met NZA,"
  Gesprek ", Maarten van Ooijen,"Staatssecretaris Van Ooijen maakt kennis met de voorzitter van de Nederlandse Zorgautoriteit.
",23-03-2022
62,Kennismaking Onderwijsraad,"
  Gesprek "," Robbert Dijkgraaf, Dennis Wiersma, Gunay Uslu","Minister Dijkgraaf maakt kennis met de voorzitter en secretaris van de Onderwijsraad samen met minister Wiersma en ...
",23-03-2022
63,"Gesprek met burgemeester Amsterdam, Femke Halsema","
  Gesprek ", Hanke Bruins Slot,"Minister Bruins Slot heeft een kennismakingsgesprek met de burgemeester van Amsterdam, Femke Halsema.
",23-03-2022
64,Overleg met Rabobank over Waardecreatie in de keten,"
  Gesprek ", Henk Staghouwer,NA,23-03-2022
65,Deelname Samen Slimmer Café van Universiteiten van Nederland,"
  Evenement ", Robbert Dijkgraaf,"Minister Dijkgraaf neemt deel aan het Samen Slimmer Café van Universiteiten van Nederland.
",23-03-2022
66,Ontvangst voorzitter van de Duitse Bondsraad,"
  Ontvangst ", Wopke Hoekstra,"Minister Hoekstra ontvangt de voorzitter van de Duitse Bondsraad, Bodo Ramelow. Op de agenda staan onder andere de nauwe banden ...
",23-03-2022
67,Overleg met KNVB,"
  Gesprek ", Conny Helder,"Minister Helder spreekt met de bondsvoorzitter, directeur betaald voetbal en directeur amateurvoetbal van de KNVB.
",23-03-2022
68,Bestuurlijk Omgevingsberaad,"
  Bestuurlijk overleg ", Vivianne Heijnen,NA,23-03-2022
69,Kennismaking met Wetenschappelijke curriculumcommissie,"
  Gesprek ", Dennis Wiersma,NA,23-03-2022
70,Gesprek met directeur Stichting Urgenda,"
  Gesprek ", Rob Jetten,NA,23-03-2022
71,Kennismaking met president Algemene Rekenkamer,"
  Gesprek ", Wopke Hoekstra,"Minister Hoekstra spreekt met Arno Visser, president van de Algemene Rekenkamer.
",23-03-2022
72,Bestuurlijk overleg Financiële Verhoudingen,"
  Bestuurlijk overleg ", Hanke Bruins Slot,"Minister Bruins Slot heeft een bestuurlijk overleg met de staatssecretaris van Financiën over Financiële Verhoudingen.
",23-03-2022
73,"Gesprek met Arno Visser, president Algemene Rekenkamer","
  Gesprek ", Alexandra van Huffelen,"Staatssecretaris Van Huffelen heeft een kennismakingsgesprek met Arno Visser,  president Algemene Rekenkamer.
",23-03-2022
74,Bestuurlijk Aansturingsteam,"
  Bestuurlijk overleg ", Hanke Bruins Slot,"Minister Bruins Slot heeft een overleg met het Bestuurlijk Aansturingsteam over de grenslandconferentie.
",23-03-2022
75,Debat over Europese Raad van 24 en 25 maart,"
  Kamervergadering ", Mark Rutte,NA,23-03-2022
76,Gesprek met Longfonds,"
  Gesprek ", Vivianne Heijnen,NA,23-03-2022
77,Bestuurlijk overleg gesloten coffeeshops experiment,"
  Bestuurlijk overleg ", Ernst Kuipers,"Minister Kuipers spreekt met de minister van Justitie en Veiligheid en een aantal burgemeesters over het experiment.
",23-03-2022
78,Gesprek met minister-president van Spanje,"
  Gesprek ", Mark Rutte,NA,23-03-2022
79,Aanbieding brancheplan Verpakkingen,"
  Evenement ", Vivianne Heijnen,NA,23-03-2022
80,Kennismaking met Mariëtte Hamer,"
  Gesprek ", Maarten van Ooijen,NA,23-03-2022
81,Rijksherenoverleg,"
  Bestuurlijk overleg ", Hanke Bruins Slot,"Minister Bruins Slot neemt deel aan het Rijksherenoverleg Oekraïne.
",22-03-2022
82,Raad Algemene Zaken (RAZ),"
  Internationale bijeenkomst ", Wopke Hoekstra,NA,22-03-2022
83,Kennismaking met bestuur ANVS (Autoriteit Nucleaire Veiligheid en Stralingsbescherming),"
  Gesprek ", Vivianne Heijnen,NA,22-03-2022
84,Bewindsliedenoverleg prioritering ontwikkelruimte,"
  Gesprek ", Henk Staghouwer,NA,22-03-2022
85,Kennismaking met ambassadeur Europees Jaar van het Spoor,"
  Gesprek ", Vivianne Heijnen,NA,22-03-2022
86,Bewindsliedenoverleg over prioritering ontwikkelruimte,"
  Gesprek ", Vivianne Heijnen,NA,22-03-2022
87,Kennismaking met de Nederlandse GGZ,"
  Gesprek ", Maarten van Ooijen,"Staatssecretaris Van Ooijen maakt kennis met de voorzitter van de Nederlandse GGZ.
",22-03-2022
88,"Commissiedebat Digitale overheid, datagebruik en algoritmen, digitale identiteit","
  Kamervergadering ", Alexandra van Huffelen,NA,22-03-2022
89,Gesprek met minister voor Klimaat en Energie en gedeputeerde Bonaire,"
  Gesprek ", Alexandra van Huffelen,"Staatssecretaris Van Huffelen heeft een gesprek met minister Jetten en Nina den Heyer, gedeputeerde Bonaire over de ...
",22-03-2022
90,Ministeriële Commissie Covid-19,"
  Ministerraad, onderraad, ministerieel overleg "," Sigrid Kaag, Robbert Dijkgraaf, Kajsa Ollongren, Micky Adriaansens, Henk Staghouwer, Ernst Kuipers, Dennis Wiersma, Christianne van der Wal-Zeggelink, Conny Helder, Marnix van Rij",NA,22-03-2022
91,Bezoek aan president Erdogan van Turkije,"
  Gesprek ", Mark Rutte,"Minister-president Rutte reist Ankara voor een bezoek aan president Erdogan van Turkije. De reis staat in het teken van de oorlog ...
",22-03-2022
92,"Kennismaking met Zwitserse minister Milieu, Transport","
  Gesprek ", Vivianne Heijnen,NA,22-03-2022
93,Onderraden en ministeriële overleggen,"
  Ministerraad, onderraad, ministerieel overleg "," Mark Rutte, Sigrid Kaag, Robbert Dijkgraaf, Kajsa Ollongren, Micky Adriaansens, Henk Staghouwer, Dennis Wiersma, Alexandra van Huffelen, Marnix van Rij, Vivianne Heijnen",NA,22-03-2022
94,Kennismaking commissie voor OCW Eerste Kamer,"
  Gesprek "," Robbert Dijkgraaf, Dennis Wiersma, Gunay Uslu","Minister Dijkgraaf maakt kennis met de commissie voor OCW van de Eerste Kamer samen met minister Wiersma en staatssecretaris Uslu.
",22-03-2022
95,Kennismaking met Eerste Kamercommissie OCW,"
  Gesprek ", Dennis Wiersma,NA,22-03-2022
96,Gesprek met gedeputeerde van Bonaire en de directeur Woningstichting Bonaire,"
  Gesprek ", Hugo de Jonge,"Minister De Jonge heeft een gesprek met gedeputeerde Nina den Heyer van Bonaire en de directeur van de Woningstichting Bonaire ...
",22-03-2022
97,Diverse gesprekken,"
  Gesprek ", Alexandra van Huffelen,"Staatssecetaris Van Huffelen heeft een: gesprek met minister Jetten (voor Klimaat en Energie) en Nina den Heyer, gedeputeerde ...
",22-03-2022
98,"Ontvangst Zwitserse minister van Environment, Transport, Energy and Communication","
  Gesprek ", Rob Jetten,NA,22-03-2022
99,In ontvangst nemen Petitie Vissenwelzijn,"
  Gesprek ", Henk Staghouwer,NA,22-03-2022
100,Gesprek met Oekraïense minister van Buitenlandse Zaken,"
  Gesprek ", Wopke Hoekstra,"Minister Hoekstra spreekt minister van Buitenlandse Zaken Kuleba van Oekraïne over de oorlog in Oekraïne.
",22-03-2022
101,Gesprek met Eurocommissaris Johansson,"
  Gesprek ", Eric van der Burg,"Staatssecretaris Van der Burg gaat in gesprek met Eurocommissaris Johansson over de toestroom van vluchtelingen uit Oekraïne. 
",22-03-2022
102,Bezoek Cold Response 22,"
  Internationale bijeenkomst ", Kajsa Ollongren,"Minister Ollongren brengt een bezoek aan de Cold Response 22.
",22-03-2022
103,Plenair debat over ontwikkeling koopkracht en de stijgende energieprijzen,"
  Kamervergadering "," Sigrid Kaag, Marnix van Rij",NA,22-03-2022
104,Vragenuur,"
  Kamervergadering "," Robbert Dijkgraaf, Hans Vijlbrief",NA,22-03-2022
105,Overleg met Rergeringscommissaris en plaatsvervangend Regeringscommissaris van Sint Eustatius,"
  Gesprek ", Alexandra van Huffelen,"Staatssecretaris Van Huffelen heeft een gesprek met Rergeringscommissaris Alida Francis en plaatsvervangend Regeringscommissaris  ...
",22-03-2022
106,Bewindspersonenoverleg investeringen Tennet,"
  Gesprek ", Sigrid Kaag,NA,22-03-2022
107,Bezoek aan Litouwen en Polen,"
  Werkbezoek ", Mark Rutte,"Minister-president Rutte reist naar Litouwen en Polen voor gesprekken met onder anderen de regeringsleiders van beide landen. De ...
",21-03-2022
108,Werkbezoek spoor,"
  Werkbezoek ", Vivianne Heijnen,"Staatssecretaris Heijnen bezoekt NS / Prorail / Arriva en RailGood (goederenvervoer).
",21-03-2022
109,Gesprek met de Nationale ombudsman de Ombudsman Curacao en de Ombudsman Sint Maarten,"
  Gesprek ", Alexandra van Huffelen,"Staatssecetaris Van Huffelen heeft een gesprek met Reinier van Zutphen, Stephan Sjouke (Nationale ombudsman), Keursly Concincion ...
",21-03-2022
110,Werkbezoek Zone college,"
  Werkbezoek ", Robbert Dijkgraaf,"Minister Dijkgraaf brengt een werkbezoek aan het mbo Zone college.
",21-03-2022
111,Raad Landbouw en Visserij,"
  Internationale bijeenkomst ", Henk Staghouwer,NA,21-03-2022
112,Extra Veiligheidsberaad,"
  Gesprek ", Hanke Bruins Slot,"Minister Bruins Slot neemt deel aan het Extra Veiligheidsberaad over opvang.
",21-03-2022
113,Overleg over hoofdlijnen aanpak stikstof,"
  Gesprek ", Christianne van der Wal-Zeggelink,"Minister Van der Wal-Zeggelink overlegt met minister Adriaansens en minister Jetten over de hoofdlijnen van de stikstofaanpak.
",21-03-2022
114,Werkbezoek Groen in de stad,"
  Werkbezoek ", Christianne van der Wal-Zeggelink,NA,21-03-2022
115,Livesessie over eindexamens,"
  Evenement ", Dennis Wiersma,"Minister Wiersma gaat live op Instagram samen met het account @eindexamens. Aanwezigen in de livesessie kunnen vragen stellen ...
",21-03-2022
116,Werkbezoek aan 2e van der Huchtschool,"
  Werkbezoek ", Dennis Wiersma,"Minister Wiersma brengt een bezoek aan deze basisschool in het kader van passend onderwijs.
",21-03-2022
117,Gesprek Waarborgfonds Eigen Woningen NHG,"
  Gesprek ", Hugo de Jonge,"Minister De Jonge heeft een kennismakingsgesprek met het Waarborgfonds Eigen Woningen NHG.
",21-03-2022
118,Raad Buitenlandse Zaken (RBZ),"
  Internationale bijeenkomst "," Wopke Hoekstra, Kajsa Ollongren",NA,21-03-2022
119,Bewindspersonenoverleg over Klimaatfonds,"
  Gesprek ", Rob Jetten,NA,21-03-2022
120,Gesprek over politieke prioritering van stikstofruimte,"
  Gesprek ", Hugo de Jonge,"Minister De Jonge heeft een gesprek met de minister voor Natuur en Stikstof over politieke prioritering van stikstofruimte.
",21-03-2022
121,Belafspraak voorzitter AWTI,"
  Gesprek ", Robbert Dijkgraaf,"Minister Dijkgraaf heeft een belafspraak met de nieuwe voorzitter van de AWTI  (Adviesraad voor wetenschap, technologie en ...
",21-03-2022
122,Gesprek met Inspectie Leefomgeving en Transport ILT,"
  Gesprek ", Hugo de Jonge,"Minister De Jonge heeft een kennismakingsgesprek met de Inspectie Leefomgeving en Transport.
",21-03-2022
123,Diverse gesprekken,"
  Gesprek ", Alexandra van Huffelen,"Staatssecetaris Van Huffelen heeft een: kennismakingsgesprek met de voorzitter van de WRR, mevrouw Prins gesprek met Reinier van ...
",21-03-2022
124,"Gesprek met de Minister-President van Curaçao en de minister van Sociale Ontwikkeling, Arbeid en Welzijn","
  Gesprek ", Alexandra van Huffelen,"Staatssecetaris Van Huffelen heeft een gesprek met Minister-President Pisas van Curaçao en de minister van Sociale Ontwikkeling, ...
",21-03-2022
125,Werkbezoek gemeente Budel,"
  Werkbezoek ", Eric van der Burg,"Staatssecretaris Van der Burg brengt een bezoek aan de gemeente Budel en gaat in gesprek met burgemeester Van Kessel en ...
",21-03-2022
126,"Kennismaking Kwartiermakers Toekomst Accountancysector, Marlies de Vries en Chris Fonteijn","
  Gesprek ", Sigrid Kaag,NA,21-03-2022
127,Gesprek met Minister-President Aruba over  uitvoeringsagenda Q2 2022,"
  Gesprek ", Alexandra van Huffelen,"Staatssecretaris Van Huffelen heeft een gesprek met de Minister-President van Sint Maarten, mw. Jacobs inzake uitvoeringsagenda ...
",21-03-2022
128,Werkbezoek Uitvoeringsorganisatie Herstel Toeslagen,"
  Werkbezoek ", Aukje de Vries,NA,21-03-2022
129,Gesprek met voorzitter van de WRR,"
  Gesprek ", Alexandra van Huffelen,"Staatssecretaris Van Huffelen heeft een kennismakingsgesprek met de voorzitter van de WRR, mw. Prins. 
",21-03-2022
130,Werkbezoek aan Hugo de Grootschool,"
  Werkbezoek ", Dennis Wiersma,"Minister Wiersma brengt een bezoek aan deze basisschool in het kader van een Rijke Schooldag.
",21-03-2022
131,Kennismakingsgesprek met vertegenwoordigers van Samenwerkingsverbanden Passend Onderwijs,"
  Gesprek ", Dennis Wiersma,NA,21-03-2022
132,Dubai Expo en Handelsmissie,"
  Internationale bijeenkomst ", Mark Harbers,NA,21-03-2022
133,"Gesprek met de Minister-Presdent van Curaçao en minister van Sociale Ontwikkeling, Arbeid en Welzijn","
  Gesprek ", Alexandra van Huffelen,"Staatssecretaris Van Huffelen heeft een gesprek met Minister-President Pisas van Curaçao en de minister van Sociale Ontwikkeling, ...
",21-03-2022
134,Wetgevingsoverleg Groeifonds,"
  Kamervergadering "," Sigrid Kaag, Micky Adriaansens",NA,21-03-2022
135,"Gesprek met  Jan van den Bos, voorzitter Inspectieraad","
  Gesprek ", Hanke Bruins Slot,"Minister Bruins Slot heeft een kennismakingsgesprek met Jan van den Bos, voorzitter Inspectieraad.
",21-03-2022
136,Kennismaking Belgische minister van Sociale zaken en Volksgezondheid,"
  Gesprek ", Ernst Kuipers,"Minister Kuipers maakt kennis met minister Vandenbroucke.
",21-03-2022
137,Notaoverleg ‘Naar minder ziekte en betere zorg: ontzorg de zorg voor behoud van solidariteit’,"
  Kamervergadering ", Maarten van Ooijen,"Staatssecretaris Van Ooijen heeft een notaoverleg over het initiatiefnota van het Kamerlid Van der Berg.
",21-03-2022
138,Kennismaking MKB Nederland,"
  Gesprek ", Marnix van Rij,NA,21-03-2022
139,Werkbezoek aan DUO,"
  Werkbezoek ", Robbert Dijkgraaf,"Minister Dijkgraaf brengt een werkbezoek aan DUO.
",21-03-2022
140,Werkbezoek glastuinbouw,"
  Werkbezoek ", Rob Jetten,"Minister Jetten (Klimaat en Energie) brengt een werkbezoek in het kader van glastuinbouw. 
",18-03-2022
141,Onderraden en ministeriële overleggen,"
  Ministerraad, onderraad, ministerieel overleg "," Hugo de Jonge, Micky Adriaansens",NA,18-03-2022
142,Gesprek met Oekraïense ambassadeur over situatie Oekraïne,"
  Gesprek ", Mark Harbers,NA,18-03-2022
143,Diverse kennismakingen staatssecretaris Van der Maat,"
  Gesprek ", Christophe van der Maat,"Staatssecretaris Van der Maat heeft kennismakingsgesprekken met: de Inspecteur-Generaal der Krijgsmacht luitenant-generaal der ...
",18-03-2022
144,Werkbezoek Klimaatmaatregelen glastuinbouw,"
  Werkbezoek ", Henk Staghouwer,NA,18-03-2022
145,Bewindsliedenoverleg Voorjaarsbesluitvorming fiscale klimaatmaatregelen,"
  Bestuurlijk overleg "," Mark Harbers, Rob Jetten, Vivianne Heijnen",NA,18-03-2022
146,Werkbezoek Italië,"
  Werkbezoek ", Wopke Hoekstra,"Minister Hoekstra brengt een werkbezoek aan Rome waar hij met zijn Italiaanse collega Di Maio spreekt. 
",18-03-2022
147,Werkbezoek RIVM,"
  Werkbezoek ", Ernst Kuipers,"Minister Kuipers bezoekt het RIVM voor een brede kennismaking met de werkzaamheden los van corona.
",18-03-2022
148,Ministerraad,"
  Ministerraad, onderraad, ministerieel overleg "," Mark Rutte, Sigrid Kaag, Wopke Hoekstra, Carola Schouten, Dilan Yeşilgöz-Zegerius, Hanke Bruins Slot, Robbert Dijkgraaf, Kajsa Ollongren, Mark Harbers, Micky Adriaansens, Henk Staghouwer, Karien van Gennip, Ernst Kuipers, Liesje Schreinemacher, Franc Weerwind, Hugo de Jonge, Dennis Wiersma, Rob Jetten, Christianne van der Wal-Zeggelink, Conny Helder, Eric van der Burg, Vivianne Heijnen, Maarten van Ooijen",NA,18-03-2022
149,Bewindsliedenoverleg EU/Energie,"
  Bestuurlijk overleg "," Hugo de Jonge, Rob Jetten",NA,18-03-2022
150,Diverse kennismakingen minister Harbers en staatssecretaris Heijnen,"
  Gesprek "," Mark Harbers, Vivianne Heijnen","Minister Harbers en staatssecretaris Heijnen hebben kennismakingsgesprekken met: IPO en portefeuillehouders mobiliteit gemeenten ...
",18-03-2022
151,Kennismaking Autoriteit Persoonsgegevens,"
  Gesprek ", Marnix van Rij,NA,18-03-2022
152,Bewindsliedenoverleg loonruimte,"
  Gesprek ", Hanke Bruins Slot,"Minister Bruins slot heeft een overleg met de Ministers van Justitie en Veiligheid en Financiën over loonruimte kabinetssectoren.
",18-03-2022
153,Werkbezoek aan De Vuurvlinder en Diamantcollege met hare majesteit de koningin,"
  Werkbezoek ", Dennis Wiersma,"Minister Wiersma brengt samen met de Koningin een werkbezoek aan basisschool de Vuurvlinder en middelbare school Diamant College.
",18-03-2022
154,Bewindsliedenoverleg over fiscale  klimaatmaatregelen,"
  Gesprek ", Hugo de Jonge,NA,18-03-2022
155,Werkbezoek aan Amaze,"
  Werkbezoek ", Gunay Uslu,"Staatssecretaris Uslu bezoekt Amaze en gaat met onder andere ID&T en muziekstudenten in gesprek over de dance sector en ...
",18-03-2022
156,Gesprek met ceo en voorzitter Raad van Commissarissen van Energie Beheer Nederland,"
  Gesprek ", Hans Vijlbrief,NA,17-03-2022
157,Bezoek Washington,"
  Werkbezoek ", Robbert Dijkgraaf,"Minister Dijkgraaf reist naar Washington.
",17-03-2022
158,Gesprek met Peter Glas Deltacommissaris,"
  Gesprek ", Hugo de Jonge,NA,17-03-2022
159,Kennismaking Zorgthuis.nl,"
  Gesprek ", Conny Helder,NA,17-03-2022
160,Diverse gesprekken minister De Jonge,"
  Gesprek ", Hugo de Jonge,"Minister De jonge heeft gesprekken met: Paul Scheffer over demografie en fysieke leefomgeving de Rijksbouwmeester en College van ...
",17-03-2022
161,Commissiedebat Raad Buitenlandse Zaken,"
  Kamervergadering ", Wopke Hoekstra,"Minister Hoekstra neemt deel aan het commissiedebat Raad Buitenlandse Zaken. 
",17-03-2022
