activiteitnaam,bewindspersoon,datum,locatie,subtitel,type,url
Gesprek met Belgische minister van Ontwikkelingssamenwerking,,2021-09-13,Brussel/ via communicatietechnologie,,NA,/actueel/agenda/2021/09/13/gesprek-met-belgische-minister-van-ontwikkelingssamenwerking
International Chocolate Day,,2021-09-13,Brussel,,NA,/actueel/agenda/2021/09/13/international-chocolate-day
Werkbezoek aan school voor voortgezet onderwijs,,2021-09-13,Capelle aan den IJssel,Minister Slob brengt een bezoek aan een school voor voortgezet onderwijs om in gesprek te gaan over de ervaringen met het ...,NA,/actueel/agenda/2021/09/13/werkbezoek-aan-school-voor-voortgezet-onderwijs
Bestuurlijk overleg met alle JTF regio’s,,2021-09-13,Den Haag,Bestuurlijk overleg met alle JTF regio’s (Just Transition Fund),NA,/actueel/agenda/2021/09/13/bestuurlijk-overleg-met-alle-jtf-regios
Werkbezoek Groningen,,2021-09-13,Provincie Groningen,,NA,/actueel/agenda/2021/09/13/werkbezoek-groningen
Rondetafelsgesprek cybersecurity,,2021-09-13,Den Haag,Minister Grapperhaus gaat met staatssecretaris Keijzer (EZK) in gesprek met MKB Nederland over cybersecurity.,Gesprek,/actueel/agenda/2021/09/13/rondetafelsgesprek-cybersecurity
Nationaal Jeugddebat discriminatie,,2021-09-13,Den Haag,Minister Grapperhaus gaat in gesprek met jongeren over discriminatie.,NA,/actueel/agenda/2021/09/13/nationaal-jeugddebat-discriminatie
Kennismakingsgesprek met de vice-president Raad van State,Dilan Yeşilgöz-Zegerius,2021-09-13,Den Haag,,Gesprek,/actueel/agenda/2021/09/13/kennismakingsgesprek-met-de-vice-president-raad-van-state
Startdag pilot Waterbank,,2021-09-13,Eindhoven/Tilburg,,NA,/actueel/agenda/2021/09/13/startdag-pilot-waterbank
Kennismakingsgesprek met manager HVC Warmtebedrijf Trias Westland,Dilan Yeşilgöz-Zegerius,2021-09-13,Via communictietechnologie,,Gesprek,/actueel/agenda/2021/09/13/kennismakingsgesprek-met-manager-hvc-warmtebedrijf-trias-westland
MKCO (Minister Korpschef Overleg),,2021-09-13,Den Haag,Minister Grapperhaus is aanwezig.,NA,/actueel/agenda/2021/09/13/mkco
Bewindspersonenoverleg met de evenementensector,,2021-09-13,Via communicatietechnologie,"Minister Van Engelshoven, minister De Jonge en staatssecretaris Keijzer spreken met vertegenwoordigers van de evenementensector ...",NA,/actueel/agenda/2021/09/13/bewindspersonenoverleg-met-de-evenementensector
Werkbezoek aan Sociale Verzekeringsbank,,2021-09-13,Amstelveen,,NA,/actueel/agenda/2021/09/13/werkbezoek-aan-sociale-verzekeringsbank
Wekelijks gesprek met koning,Mark Rutte,2021-09-13,Den Haag,,Gesprek,/actueel/agenda/2021/09/13/wekelijks-gesprek-met-koning
gesprek over programma Méér muziek in de klas,,2021-09-13,via communicatietechnologie,Minister Van Engelshoven voert een gesprek met dhr. Van den Ende over het programma Méér muziek in de klas.,NA,/actueel/agenda/2021/09/13/gesprek-over-programma-meer-muziek-in-de-klas
Afscheidslunch Israëlische Ambassadeur,"Carola Schouten, Dilan Yeşilgöz-Zegerius",2021-09-13,Den Haag,,Gesprek,/actueel/agenda/2021/09/13/afscheidslunch-israelische-ambassadeur
Werkbezoek lerarenopleiding,,2021-09-13,Zaandijk,,NA,/actueel/agenda/2021/09/13/werkbezoek-lerarenopleiding
Gesprek met Eurocommissarissen,,2021-09-13,Brussel,"Minister De Bruijn heeft gesprekken met Eurocommissarissen Janez Lenarčič, Maroš Šefčovič en Jutta Urpilainen.",NA,/actueel/agenda/2021/09/13/gesprek-met-eurocommissarissen
Jaarlijks diner met G4 burgemeesters,Mark Rutte,2021-09-13,Den Haag,,Bestuurlijk overleg,/actueel/agenda/2021/09/13/jaarlijks-diner-met-g4-burgemeesters
Werkbezoek aan school voor primair onderwijs,,2021-09-13,Rotterdam,Minister Slob brengt een bezoek aan een school voor primair onderwijs om in gesprek te gaan over de ervaringen met het Nationaal ...,NA,/actueel/agenda/2021/09/13/werkbezoek-aan-school-voor-primair-onderwijs
CdK vergadering,,2021-09-13,Via telecommunicatie,Minister Grapperhaus gaat in overleg met de Commissarissen van de Koning.,NA,/actueel/agenda/2021/09/13/cdk-vergadering
Gesprek met EU-commissaris,,2021-09-13,via communicatietechnologie,Minister Koolmees heeft een gesprek met EU-commissaris Schmit over Platformwerk.,NA,/actueel/agenda/2021/09/13/gesprek-met-eu-commissaris
Onderraden en ministeriële overleggen,"Mark Rutte, Kajsa Ollongren, Carola Schouten, Sigrid Kaag",2021-09-14,Den Haag,,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2021/09/14/onderraden-en-ministeriele-overleggen
Webinar gemeente Utrecht voor mogelijk gedupeerde ouders,Alexandra van Huffelen,2021-09-14,Utrecht,,Evenement,/actueel/agenda/2021/09/14/webinar-gemeente-utrecht-voor-mogelijk-gedupeerde-ouders
Overleg minister-president en vice-mp's,Mark Rutte,2021-09-14,Den Haag,,Bestuurlijk overleg,/actueel/agenda/2021/09/14/overleg-minister-president-en-vice-mps
Regulier overleg MP/VMP’s,Carola Schouten,2021-09-14,Den Haag,,Gesprek,/actueel/agenda/2021/09/14/regulier-overleg-mp-vmps
Debat evenwichtiger verhouding tussen mannen en vrouwen in bestuur en raad van commissarissen,,2021-09-14,Eerste Kamer,Ministers Van Engelshoven en Dekker voeren een debat met de Eerste Kamer over de wijziging van Boek 2 van het Burgerlijk Wetboek ...,Kamervergadering,/actueel/agenda/2021/09/14/debat-evenwichtiger-verhouding-tussen-mannen-en-vrouwen-in-bestuur-en-raad-van-commissarissen
Bewindspersonenoverleg cybersecurity corona herstelfonds,,2021-09-14,Via communicatietechnologie,Minister Grapperhaus en staatssecretaris Keijzer (EZK) gaan in overleg over cybersecurity en het corona herstelfonds.,Gesprek,/actueel/agenda/2021/09/14/bewindspersonenoverleg-cybersecurity-corona-herstelfonds
Ministeriële Commissie COVID-19,"Carola Schouten, Sigrid Kaag",2021-09-14,Den Haag,,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2021/09/14/ministeriele-commissie-covid-19
Bestuurlijk overleg funderend onderwijs en corona,,2021-09-14,via communicatietechnologie,,NA,/actueel/agenda/2021/09/14/bestuurlijk-overleg-funderend-onderwijs-en-corona
Opening studiejaar Associate Degree opleiding Social Work,,2021-09-14,Dordrecht,Staatssecretaris Blokhuis is bij de opening van het studiejaar van de Associate Degree opleiding Social Work op de Dordrecht ...,NA,/actueel/agenda/2021/09/14/opening-studiejaar-associate-degree-opleiding-social-work
Commissiedebat Algemene Vergadering Verenigde Naties,"Sigrid Kaag,",2021-09-14,Tweede Kamer,,Kamervergadering,/actueel/agenda/2021/09/14/commissiedebat-algemene-vergadering-verenigde-naties
Bestuurlijk Overleg Corona en Economie,,2021-09-14,Via communicatietechnologie,Minister Koolmees neemt samen met minister Blok deel aan het bestuurlijk overleg Corona en Economie.,NA,/actueel/agenda/2021/09/14/bestuurlijk-overleg-corona-en-economie
In ontvangst name Nederlandse Actieagenda voor Biodiversiteit,Carola Schouten,2021-09-14,Den Haag,"Voor vragen of verzoeken rondom dit overleg kunt u contact opnemen met Bertine Moenaff-Fennema, tel: 06-29172880 of ...",Evenement,/actueel/agenda/2021/09/14/in-ontvangst-name-nederlandse-actieagenda-voor-biodiversiteit
Jaarlijks bestuurlijk overleg Hindoeraad,,2021-09-14,Via telecommunicatie,Minister Grapperhaus gaat in overleg met de Hindoeraad.,NA,/actueel/agenda/2021/09/14/jaarlijks-bestuurlijk-overleg-hindoeraad
Gesprek met president DNB,Mark Rutte,2021-09-14,Den Haag,"Regulier gesprek met dhr. Knot, president van De Nederlandsche Bank.",Bestuurlijk overleg,/actueel/agenda/2021/09/14/gesprek-met-president-dnb
Bezoek aan Britse premier Johnson,Mark Rutte,2021-09-15,Londen,Minister-president Rutte en minister Kaag van Buitenlandse Zaken brengen een bezoek aan Downing Street 10 voor een ontmoeting met ...,Gesprek,/actueel/agenda/2021/09/17/bezoek-aan-britse-premier-johnson
Commissiedebat Raad voor Concurrentievermogen met OCW,,2021-09-15,Tweede Kamer,,NA,/actueel/agenda/2021/09/15/commissiedebat-raad-voor-concurrentievermogen-met-ocw
Aanbieding WHOA bundel,,2021-09-15,Den Haag,Minister Dekker neemt de WHOA bundel in ontvangst.,NA,/actueel/agenda/2021/09/15/aanbieding-whoa-bundel
Gesprek met CEO van Philips,,2021-09-15,via communicatietechnologie,,NA,/actueel/agenda/2021/09/15/gesprek-met-ceo-philips
Reflectieprogramma,,2021-09-15,Den Haag,"Minister Dekker gaat in gesprek met de voorzitter van de Afdeling Bestuursrechtspraak van de Raad van State, de heer Van ...",NA,/actueel/agenda/2021/09/15/reflectieprogramma
Gesprek met MKB-Nederland,,2021-09-15,via communicatietechnologie,Staatssecretaris Wiersma gaat in gesprek met de voorzitter en algemeen directeur van MKB-Nederland.,NA,/actueel/agenda/2021/09/15/gesprek-met-mkb-nederland
Gesprek met artistiek directeur Human Activities,,2021-09-15,via communicatietechnologie,Minister van Engelshoven spreekt de artistiek directeur van de stichting Human Activities over de impact van kunst op economische ...,NA,/actueel/agenda/2021/09/15/gesprek-met-artistiek-directeur-human-activities
Bezoek aan Belastingtelefoon,Alexandra van Huffelen,2021-09-15,Groningen,,Werkbezoek,/actueel/agenda/2021/09/15/bezoek-aan-belastingtelefoon
"Gesprek met dhr. Visser (Algemene Rekenkamer, ARK)",,2021-09-15,Den Haag,,NA,/actueel/agenda/2021/09/15/gesprek-met-dhr.-visser-algemene-rekenkamer-ark
Commissiedebat Mestbeleid,Carola Schouten,2021-09-15,Den Haag,,Kamervergadering,/actueel/agenda/2021/09/15/commissiedebat-mestbeleid
Diner met de Franse Ambassadeur,Dilan Yeşilgöz-Zegerius,2021-09-15,Den Haag,,Gesprek,/actueel/agenda/2021/09/15/diner-met-de-franse-ambassadeur
Overleg met gedeputeerde van de provincie Noord-Holland en directeur Tata/SIW,,2021-09-15,Haarlem,,NA,/actueel/agenda/2021/09/15/overleg-met-gedeputeerde-van-de-provincie-noord-holland-en-directeur-tata-siw
Kennismakingsgesprek voorzitter en bestuurslid Algemene Onderwijsbond,,2021-09-15,via communicatietechnologie,,NA,/actueel/agenda/2021/09/15/kennismakingsgesprek-voorzitter-en-bestuurslid-aob
"Tweeminutendebat Sociale Zekerheid, Pensioenen, Arbeidsmigratie",,2021-09-15,Den Haag,,NA,/actueel/agenda/2021/09/15/tweeminutendebat-sociale-zekerheid-pensioenen-arbeidsmigratie
Gesprek met VNO-NCW en MKB NL,,2021-09-15,Den Haag,,NA,/actueel/agenda/2021/09/15/gesprek-met-vno-ncw-en-mkb-nl
Overleg met voorzitter MBO Raad,,2021-09-15,via communicatietechnologie,Minister van Engelshoven spreekt de artistiek directeur van de stichting Human Activities over de impact van kunst op economische ...,NA,/actueel/agenda/2021/09/15/regulier-bestuurlijk-overleg-met-mbo-raad
"Gesprek	met Tata Steel, Provincie Noord-Holland en EZK",,2021-09-15,Provincie Noord-Holland,,NA,/actueel/agenda/2021/09/15/gesprekmet-tata-steel-provincie-noord-holland-en-ezk
Gesprek met Luis Vassy (Ambassadeur van Frankrijk),Wopke Hoekstra,2021-09-15,Den Haag,,Gesprek,/actueel/agenda/2021/09/15/gesprek-met-luis-vassy-ambassadeur-van-frankrijk
Kennismakingsgesprek met mw. Thijssen (VNO-NCW),,2021-09-15,Den Haag / via communicatietechnologie,,NA,/actueel/agenda/2021/09/15/kennismakingsgesprek-met-mw.-thijssen-vno-ncw
Commissiedebat Mijnbouw Groningen,"Kajsa Ollongren,",2021-09-15,Tweede Kamer,,Kamervergadering,/actueel/agenda/2021/09/15/commissiedebat-mijnbouw-groningen
Werkbezoek aan gevangenismuseum Veenhuizen,,2021-09-15,Veenhuizen,,NA,/actueel/agenda/2021/09/15/werkbezoek-aan-gevangenismuseum-veenhuizen
Commissiedebat Raad Algemene Zaken,Sigrid Kaag,2021-09-15,Den Haag,Minister Kaag neemt deel aan het Commissiedebat Raad Algemene Zaken in de Tweede Kamer.,Kamervergadering,/actueel/agenda/2021/09/15/commissiedebat-raad-algemene-zaken
Ontvangst en speech Nationale Jeugdraad,Carola Schouten,2021-09-15,Den Haag,,Evenement,/actueel/agenda/2021/09/15/ontvangst-en-speech-nationale-jeugdraad
Prinsjescollege Edith Stein College,Wopke Hoekstra,2021-09-15,Den Haag,"Minister Hoekstra verzorgt, in het kader van Prinsjesdag, een gastles voor leerlingen van het Edith Stein College.",Evenement,/actueel/agenda/2021/09/15/prinsjescollege-edith-stein-college
Plenair debat over de situatie in Afghanistan,"Mark Rutte, Sigrid Kaag",2021-09-15,Den Haag,"Staatssecretaris Broekers-Knol, minister-president Rutte, minister Kaag (BZ) en minister Bijleveld (Defensie) gaan in debat met ...",Kamervergadering,/actueel/agenda/2021/09/15/plenair-debat-over-de-situatie-in-afghanistan
Werkbezoek ondermijning en preventie,,2021-09-15,Zaanstad,Minister Grapperhaus brengt een werkbezoek aan Zaanstad in het kader van ondermijning en preventie.,NA,/actueel/agenda/2021/09/15/werkbezoek-ondermijning-en-preventie
Oudergesprekken,Alexandra van Huffelen,2021-09-15,Enschede,,Gesprek,/actueel/agenda/2021/09/15/oudergesprekken
Halfjaarlijks bestuurlijk overleg met Koninklijke Nederlandse Akademie van Wetenschappen (KNAW),,2021-09-15,via communicatietechnologie,,NA,/actueel/agenda/2021/09/15/halfjaarlijks-bestuurlijk-overleg-met-de-knaw
Gesprek met voorzitter en directeuren van Deltalinqs,Dilan Yeşilgöz-Zegerius,2021-09-15,Via communicatietechnologie,Gesprek met voorzitter en directeuren van Deltalinqs (Rotterdamse ondernemersvereniging) (productie blauwe waterstof in R’dam).,Gesprek,/actueel/agenda/2021/09/15/gesprek-met-voorzitter-en-directeuren-van-deltalinqs
Gesprek met MVO Platform,,2021-09-15,Den Haag,,NA,/actueel/agenda/2021/09/15/gesprek-met-mvo-platform
Werkbezoek troepengroep Evertsen,,2021-09-16,Den Haag,Minister Bijleveld gaat samen met de CDS een digitaal bezoek doen aa troepengroep Evertsen.,NA,/actueel/agenda/2021/09/16/werkbezoek-troepengroep-evertsen
Gesprek met Gouverneur Curaçao,,2021-09-16,Via communicatietechnologie,,NA,/actueel/agenda/2021/09/16/gesprek-met-gouverneur-curacao
Gesprek met Worldbank Managing Director of Operations,,2021-09-16,Den Haag,,NA,/actueel/agenda/2021/09/16/gesprek-met-worldbank-managing-director-of-operations
Gesprek met vicepresident Raad van State,Wopke Hoekstra,2021-09-16,Den Haag,,Gesprek,/actueel/agenda/2021/09/16/gesprek-met-vicepresident-raad-van-state
Commissiedebat Verkenning landbouwakkoord,Carola Schouten,2021-09-16,Den Haag,,Kamervergadering,/actueel/agenda/2021/09/16/commissiedebat-verkenning-landbouwakkoord
Tweeminutendebat Tata Steel,,2021-09-16,Tweede Kamer,,NA,/actueel/agenda/2021/09/16/tweeminutendebat-tata-steel
Debat Coronavirus,Mark Rutte,2021-09-16,Tweede Kamer,,Kamervergadering,/actueel/agenda/2021/09/16/debat-coronavirus
Bezoek gouverneur Boekhoudt (Aruba),,2021-09-16,Den Haag,Minister Bijleveld heeft Gouverneur Boekhoudt (Aruba) op bezoek.,NA,/actueel/agenda/2021/09/16/bezoek-gouverneur-boekhoudt-aruba
Stakeholdersessie met E-commerce bedrijven,,2021-09-16,digitaal vergaderen,,NA,/actueel/agenda/2021/09/16/stakeholdersessie-met-e-commerce-bedrijven
Aanbieding position paper COR politie,,2021-09-16,Den Haag,Minister Grapperhaus neemt het position paper COR politie in ontvangst.,NA,/actueel/agenda/2021/09/16/aanbieding-position-paper-cor-politie
Commissiedebat Volkshuisvestelijke en ruimtelijk ordeningsaspecten,Kajsa Ollongren,2021-09-16,Tweede Kamer,,Kamervergadering,/actueel/agenda/2021/09/16/commissiedebat-volkshuisvestelijke-en-ruimtelijk-ordeningsaspecten
Gesprek over de steunpakketten,,2021-09-16,Den Haag,Minister Koolmees gaat in gesprek met Romke de Jong (D66) en Irina van der Hoorn-Tan (D66) over de steunpakketten.,NA,/actueel/agenda/2021/09/16/steunpakketten
Bijeenkomst over vrouwelijk ondernemerschap en financiering,,2021-09-16,Den Haag,,NA,/actueel/agenda/2021/09/16/bijeenkomst-over-vrouwelijk-ondernemerschap-en-financiering
Gesprek met de Wereldbank,,2021-09-16,Den Haag,,NA,/actueel/agenda/2021/09/16/gesprek-met-wereldbank
Werkbezoek ondermijning jeugd en preventie,,2021-09-16,Tilburg,"Minister Dekker brengt een werkbezoek aan Tilburg in het kader van ondermijning, jeugd en preventie.",NA,/actueel/agenda/2021/09/16/werkbezoek-ondermijning-jeugd-en-preventie
Opening nationale supercomputer Snellius,,2021-09-16,Amsterdam,,NA,/actueel/agenda/2021/09/16/opening-nationale-supercomputer-snellius
Stakeholdersessie E-commerce bedrijven met MEZK,,2021-09-16,Den Haag,,NA,/actueel/agenda/2021/09/16/stakeholdersessie-e-commerce-bedrijven-met-mezk
Gesprek met Britse ambassadeur Joanna Roper,,2021-09-16,Den Haag,,NA,/actueel/agenda/2021/09/16/gesprek-met-britse-ambassadeur-joanna-roper
Commissiedebat kindermisbruik en seksueel geweld,,2021-09-16,Den Haag,Minister Grapperhaus gaat in debat met de Tweede Kamer over de aanpak van kindermisbruik en seksueel geweld.,NA,/actueel/agenda/2021/09/16/commissiedebat-kindermisbruik-en-seksueel-geweld
Uitreiking Hestia beurzen aan vluchteling-wetenschappers,,2021-09-16,Den Haag,,NA,/actueel/agenda/2021/09/16/uitreiking-hestia-beurzen-aan-vluchteling-wetenschappers
Gesprekken met kandidaat-voorzitters restitutiecommissie,,2021-09-16,Via communicatietechnologie,Minister Van Engelshoven spreekt kandidaat-voorzitters van de adviescommissie Restitutieverzoeken Cultuurgoederen en Tweede ...,NA,/actueel/agenda/2021/09/16/gesprekken-met-kandidaat-voorzitters-restitutiecommissie
Afscheid oud-gouverneur provincie Limburg,"Kajsa Ollongren,",2021-09-16,via communicatietechnologie,Minister Ollongren en staatssecretaris Knops zijn digitaal aanwezig bij het afscheid van oud-Gouverneur Theo Bovens.,Evenement,/actueel/agenda/2021/09/16/afscheid-oud-gouverneur-provincie-limburg
Werkbezoek aan school voor voortgezet onderwijs,,2021-09-16,Den Haag,Minister Slob brengt een bezoek aan een school voor voortgezet onderwijs om het startschot te geven van een project in het kader ...,NA,/actueel/agenda/2021/09/16/werkbezoek-aan-school-voor-voortgezet-onderwijs
Commissiedebat Nucleaire Veiligheid,,2021-09-16,Tweede Kamer,,NA,/actueel/agenda/2021/09/16/commissiedebat-nucleaire-veiligheid
Werkbezoek Regionale Mobiliteitsteam (RMT),,2021-09-16,Amsterdam,,Werkbezoek,/actueel/agenda/2021/09/16/werkbezoek-regionale-mobiliteitsteam-rmt
Rechtsstaatgesprek Raad van State,,2021-09-16,Den Haag,Minister Grapperhaus is aanwezig.,NA,/actueel/agenda/2021/09/16/rechtsstaatgesprek-raad-van-state
Seneca Congres,,2021-09-16,Lattrop-Breklenkamp,Staatssecretaris Blokhuis houdt een key-note lezing bij het Seneca Congres.,NA,/actueel/agenda/2021/09/16/seneca-congres
Gesprek met CEO Friesland Campina,,2021-09-16,Den Haag,,NA,/actueel/agenda/2021/09/16/gesprek-met-ceo-friesland-campina
Gesprek met directeur van Partos,,2021-09-16,Den Haag,,NA,/actueel/agenda/2021/09/16/gesprek-met-directeur-van-partos
Overleg met voorzitter Raad voor Cultuur,,2021-09-16,via communicatietechnologie,,NA,/actueel/agenda/2021/09/16/overleg-met-voorzitter-raad-voor-cultuur
Spreken voor uitvaartverzorgers,Kajsa Ollongren,2021-09-16,via communicatietechnologie,Minister Ollongrens spreekt via een videoboodschap voor uitvaartverzorgers.,Evenement,/actueel/agenda/2021/09/16/spreken-voor-uitvaartverzorgers
G20,Carola Schouten,2021-09-17,Florence,"Voor vragen of verzoeken rondom dit overleg kunt u contact opnemen met Rudi Buis, tel: 06-11201624 of a.g.buis@minlnv.nl.",Evenement,/actueel/agenda/2021/09/17/g20
Bijeenkomst Poolse rechtsstaat,,2021-09-17,Den Haag,Minister Dekker spreekt tijdens een bijeenkomst over de Poolse rechtsstaat.,NA,/actueel/agenda/2021/09/17/bijeenkomst-poolse-rechtsstaat
Gesprek met gouverneur van Aruba,,2021-09-17,via communicatietechnologie,,NA,/actueel/agenda/2021/09/17/gesprek-met-gouverneur-van-aruba
