activiteitnaam,bewindspersoon,datum,locatie,subtitel,type,url
Kennismakingsgesprek met regeringscommissaris en plaatsvervangend regeringscommissaris van Sint Eustatius,Alexandra van Huffelen,2022-01-10,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/10/kennismakingsgesprek-met-regeringscommissaris-en-plaatsvervangend-regeringscommissaris-van-sint-eustatius
Kennismakingsgesprek met minister-president en gouverneur van Sint Maarten,Alexandra van Huffelen,2022-01-10,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/10/kennismakingsgesprek-met-minister-president-en-gouverneur-van-sint-maarten
Kennismakingsgesprek met minister-president en gouverneur van Aruba,Alexandra van Huffelen,2022-01-10,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/10/kennismakingsgesprek-met-minister-president-en-gouverneur-van-aruba
Kennismakingsgesprek met gezaghebber van Bonaire,Alexandra van Huffelen,2022-01-10,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/10/kennismakingsgesprek-met-gezaghebber-van-bonaire
Werkbezoek aan Christelijk Lyceum Zandvliet,,2022-01-10,Den Haag,Minister Wiersma (Primair en Voortgezet Onderwijs) gaat langs op het Christelijk Lyceum Zandvliet en spreekt daar over de impact ...,NA,/actueel/agenda/2022/01/10/werkbezoek-aan-christelijk-lyceum-zandvliet
Ministerraad,"Mark Rutte, Hugo de Jonge, Kajsa Ollongren, Carola Schouten, Wopke Hoekstra, Dilan Yeşilgöz-Zegerius, Hanke Bruins Slot, Robbert Dijkgraaf, Mark Harbers, Micky Adriaansens, Karien van Gennip, Ernst Kuipers, Liesje Schreinemacher, Franc Weerwind, Rob Jetten, Conny Helder, Gunay Uslu, Vivianne Heijnen",2022-01-10,Den Haag,De ministerraad heeft de  agenda vastgesteld. Na afloop van de ministerraad is de  besluitenlijst gepubliceerd. ,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2022/01/10/ministerraad
Kennismakingsgesprek met minister-president en gouverneur van Curaçao,Alexandra van Huffelen,2022-01-10,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/10/kennismakingsgesprek-met-minister-president-en-gouverneur-van-curacao
Kennismakingsgesprek met gezaghebber van Saba,Alexandra van Huffelen,2022-01-10,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/10/kennismakingsgesprek-met-gezaghebber-van-saba
Onderraden en ministeriële overleggen,"Dilan Yeşilgöz-Zegerius, Ernst Kuipers",2022-01-11,Den Haag,,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2022/01/14/onderraden-en-ministeriele-overleggen
Kennismakingsgesprek met Tuur Elzinga (FNV),Karien van Gennip,2022-01-11,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/11/kennismakingsgesprek-met-tuur-elzinga-fnv
Ontvangst Petitie Sport = Essentieel,Conny Helder,2022-01-11,Den Haag,,Ontvangst,/actueel/agenda/2022/01/11/ontvangst-petitie-sport---essentieel
Onderraden en ministeriële overleggen,"Mark Rutte, Dilan Yeşilgöz-Zegerius, Hanke Bruins Slot, Kajsa Ollongren, Ernst Kuipers",2022-01-11,Den Haag,Media kunnen voor meer informatie contact opnemen via  rvd.openbareagenda.mp@minaz.nl.,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2022/01/11/onderraden-en-ministeriele-overleggen
Werkbezoek met Aedes,Hugo de Jonge,2022-01-12,Den Haag,Minister De Jonge gaat in de wijk Morgenstond te Den Haag op werkbezoek met Aedes in kader van sociale volkshuisvesting.,Werkbezoek,/actueel/agenda/2022/01/12/werkbezoek-met-aedes
Gesprek met voorzitter Autoriteit Persoonsgegevens,Alexandra van Huffelen,2022-01-12,Den Haag,,Gesprek,/actueel/agenda/2022/01/12/gesprek-met-voorzitter-autoriteit-persoonsgegevens
Raad Buitenlandse Zaken EU,Kajsa Ollongren,2022-01-12,"Brest, Frankrijk",Minister Ollongren is aanwezig bij de Raad Buitenlandse Zaken EU. ,Internationale bijeenkomst,/actueel/agenda/2022/01/12/raad-buitenlandse-zaken
Werkbezoek Hogeschool Saxion,Robbert Dijkgraaf,2022-01-12,Via communicatietechnologie,Minister Dijkgraaf brengt een digitaal werkbezoek aan Hogeschool Saxion en spreekt daar met studenten en medewerkers.,Werkbezoek,/actueel/agenda/2022/01/12/werkbezoek-hogeschool-saxion
Oudergesprekken,Aukje de Vries,2022-01-12,Breda,"Media kunnen voor meer informatie contact opnemen met Sonja van der Graaf, +316- 29647422.",Gesprek,/actueel/agenda/2022/01/12/oudergesprekken
Bewindspersonenoverleg corona,Karien van Gennip,2022-01-12,Den Haag,,Gesprek,/actueel/agenda/2022/01/12/bwo-corona
Kennismaking met Nationaal Coördinator tegen Discriminatie en Racisme,Hanke Bruins Slot,2022-01-12,Den Haag,,Gesprek,/actueel/agenda/2022/01/12/kennismaking-met-nationaal-coordinator-tegen-discriminatie-en-racisme
Kennismakingsgesprek met minister-president Wüst van Duitse deelstaat Noordrijn-Westfalen,Mark Rutte,2022-01-12,Via communicatietechnologie,,Internationale bijeenkomst,/actueel/agenda/2022/01/12/kennismakingsgesprek-met-minister-president-wust-van-duitse-deelstaat-noordrijn-westfalen
Kennismaking Rijksdienst voor Identiteitsgegevens (RiVG),Alexandra van Huffelen,2022-01-12,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/12/kennismaking-rijksdienst-voor-identiteitsgegevens
Kennissessie met FNV over NOW,Karien van Gennip,2022-01-12,via communicatietechnologie,Minister Van Gennip spreekt Araya Sumter (FNV) over de Tijdelijke noodmaatregel overbrugging voor werkbehoud (NOW).,Gesprek,/actueel/agenda/2022/01/12/kennissessie-met-fnv-over-now
Kennismaking Logius,Alexandra van Huffelen,2022-01-12,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/12/kennismaking-logius
Overleg over Jeugdzorg en VNG,Hanke Bruins Slot,2022-01-12,via communicatietechnologie,Minister Bruins Slot heeft een overleg met de staatssecretaris van VWS over Jeugdzorg en VNG.,Gesprek,/actueel/agenda/2022/01/12/overleg-over-jeugdzorg-en-vng
Gesprek met kandidaat burgemeester,Hanke Bruins Slot,2022-01-12,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/12/gesprek-met-kandidaat-burgemeester
Gesprek over onderwijs en corona,Robbert Dijkgraaf,2022-01-12,Via communicatietechnologie,Minister Dijkgraaf spreekt met vertegenwoordigers van de koepelorganisaties van het mbo en het hoger onderwijs en met de ...,Gesprek,/actueel/agenda/2022/01/12/gesprek-over-onderwijs-en-corona
Kennismakingsgesprek met VNO-NCW,Karien van Gennip,2022-01-12,Den Haag,Minister Van Gennip spreekt Ingrid Thijssen van VNO-NCW.,Gesprek,/actueel/agenda/2022/01/12/kennismakingsgesprek-met-vno-ncw
Kennismakingsgesprek met voorzitters van de politievakbonden,Dilan Yeşilgöz-Zegerius,2022-01-12,Den Haag,Minister Yeşilgöz-Zegerius heeft een kennismakingsgesprek gevoerd met de voorzitters van de politievakbonden.,Gesprek,/actueel/agenda/2022/01/12/kennismakingsgesprek-met-voorzitters-van-de-politievakbonden
Gesprek met ambassadeurs uit het primair en voortgezet onderwijs,,2022-01-13,Via communicatietechnologie,Minister Wiersma spreekt met ambassadeurs van de campagne Werken in het onderwijs. Hierin worden ervaringen gedeeld uit het ...,NA,/actueel/agenda/2022/01/13/gesprek-met-ambassadeurs-uit-het-primair-en-voortgezet-onderwijs
Gesprek met Pascal Donohoe,Sigrid Kaag,2022-01-13,Digitaal,"Minister Kaag heeft een gesprek met Pascal Donohoe, minister van Financiën van Ierland en voorzitter van de Eurogroep.",Gesprek,/actueel/agenda/2022/01/13/gesprek-met-pascal-donohoe
Werkbezoek mentorklas mbo-docent van het jaar,Robbert Dijkgraaf,2022-01-13,Via communicatietechnologie,Minister Dijkgraaf brengt een digitaal werkbezoek aan de mentorklas van de mbo-docent van het jaar aan het ROC Tilburg.,Werkbezoek,/actueel/agenda/2022/01/13/werkbezoek-mentorklas-mbo-docent-van-het-jaar
Gesprek met gouverneur van Sint Maarten,Alexandra van Huffelen,2022-01-13,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/13/gesprek-met-gouverneur-van-sint-maarten
Kennismaking met KLM,Mark Harbers,2022-01-13,via communicatietechnologie,Minister Harbers en minister Kaag hebben een gesprek met KLM.,Gesprek,/actueel/agenda/2022/01/13/gesprek-met-klm
Gesprek met gouverneur van Aruba,Alexandra van Huffelen,2022-01-13,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/13/gesprek-met-gouverneur-van-aruba
Corona-overleg Catshuis,"Sigrid Kaag, Carola Schouten, Hanke Bruins Slot, Robbert Dijkgraaf, Karien van Gennip, Ernst Kuipers, Conny Helder",2022-01-13,"Catshuis, Den Haag",Minister Kaag woont het overleg digitaal bij.,Gesprek,/actueel/agenda/2022/01/13/corona-overleg
Gesprek met Bruno Le Maire,Sigrid Kaag,2022-01-13,Digitaal,"Minister Kaag heeft een gesprek met Bruno Le Maire, minister van Economie en Financiën van Frankrijk.",Gesprek,/actueel/agenda/2022/01/13/gesprek-met-bruno-le-maire
Bestuurlijk overleg coronamaatregelen,Karien van Gennip,2022-01-13,via communicatietechnologie,Minister Van Gennip spreekt minister Adriaansens en de sociale partners over de coronamaatregelen.,Bestuurlijk overleg,/actueel/agenda/2022/01/13/bo-coronamaatregelen
Bestuurlijk overleg over corona met onderwijspartners,,2022-01-13,Den Haag,Minister Wiersma organiseert een bestuurlijk overleg met bestuurlijke partners uit het onderwijs over de coronamaatregelen die ...,NA,/actueel/agenda/2022/01/13/bestuurlijk-overleg-over-corona-met-onderwijspartners
1e officiële bezoek aan bondkanselier Scholz van Duitsland,Mark Rutte,2022-01-13,Berlijn,Minister-president Rutte brengt een bezoek aan bondskanselier Scholz van Duitsland.  ,Internationale bijeenkomst,/actueel/agenda/2022/01/13/bezoek-aan-bondskanselier-scholz
Vraaggesprek bij jaarvergadering VNG,Hanke Bruins Slot,2022-01-13,Nieuwegein,,Evenement,/actueel/agenda/2022/01/13/vraaggesprek-bij-jaarvergadering-vng
Werkbezoek Radboud Universiteit Nijmegen,Robbert Dijkgraaf,2022-01-13,Via communicatietechnologie,Minister Dijkgraaf brengt een digitaal werkbezoek aan de Radboud Universiteit en spreekt daar met studenten en medewerkers.,Werkbezoek,/actueel/agenda/2022/01/13/werkbezoek-radboud-universiteit-nijmegen
Gesprek met Christian Lindner,Sigrid Kaag,2022-01-13,Digitaal,"Minister Kaag heeft een gesprek met Christian Lindner, minister van Financiën van Duitsland.",Gesprek,/actueel/agenda/2022/01/13/gesprek-met-christian-lindner
Werkbezoek aan TivoliVredenburg,Gunay Uslu,2022-01-13,Utrecht,Staatssecretaris Uslu brengt een werkbezoek aan TivoliVredenburg voor een ontmoeting met de Taskforce Culturele en Creatieve ...,Werkbezoek,/actueel/agenda/2022/01/13/werkbezoek-aan-tivolivredenburg
Veiligheidsberaad,"Dilan Yeşilgöz-Zegerius, Ernst Kuipers",2022-01-13,Via communicatietechnologie,Minister Yeşilgöz-Zegerius en minister Kuipers zijn aanwezig bij het Veiligheidsberaad. ,Bestuurlijk overleg,/actueel/agenda/2022/01/13/veiligheidsberaad
Kennismaking met inspecteur-generaal Inspectie Leefomgeving en Transport (ILT),Mark Harbers,2022-01-14,Den Haag,,Gesprek,/actueel/agenda/2022/01/14/gesprek-met-inspecteur-generaal-inspectie-leefomgeving-en-transport-ilt
Ministerraad,"Mark Rutte, Sigrid Kaag, Wopke Hoekstra, Carola Schouten, Dilan Yeşilgöz-Zegerius, Hanke Bruins Slot, Robbert Dijkgraaf, Kajsa Ollongren, Mark Harbers, Micky Adriaansens, Karien van Gennip, Ernst Kuipers, Liesje Schreinemacher, Franc Weerwind, Hugo de Jonge, Rob Jetten, Conny Helder",2022-01-14,Den Haag,De ministerraad heeft de agenda vastgesteld. Na afloop van de ministerraad is de besluitenlijst gepubliceerd.,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2022/01/14/ministerraad
Bestuurlijk overleg studentenorganisaties,Robbert Dijkgraaf,2022-01-14,Via communicatietechnologie,Minister Dijkgraaf spreekt met de voorzitters van de studentenorganisaties over de coronamaatregelen.,Bestuurlijk overleg,/actueel/agenda/2022/01/14/bestuurlijk-overleg-studentenorganisaties
Bewindspersonenoverleg corona,Karien van Gennip,2022-01-14,Den Haag,,Gesprek,/actueel/agenda/2022/01/14/bwo-corona
Bestuurlijk overleg onderwijskoepels,Robbert Dijkgraaf,2022-01-14,Via communicatietechnologie,Minister Dijkgraaf spreekt met de voorzitters van de koepelorganisaties van het mbo en hoger onderwijs over de coronamaatregelen.,Bestuurlijk overleg,/actueel/agenda/2022/01/14/bestuurlijk-overleg-onderwijskoepels
Werkbezoek aan winkelcentrum In de Boogaard,Hugo de Jonge,2022-01-14,Rijswijk,Minister De Jonge brengt een werkbezoek aan winkelcentrum ‘in de Boogaard’ in het kader van de woningbouwimpuls.,Werkbezoek,/actueel/agenda/2022/01/14/werkbezoek-winkelcentrum-in-de-boogaard
Bestuurlijk overleg coronamaatregelen cultuursector,Gunay Uslu,2022-01-14,Via communicatietechnologie,Staatssecretaris Uslu heeft een terugkoppelingsgesprek met de Taskforce culturele en creatieve sector om hen te informeren over ...,Bestuurlijk overleg,/actueel/agenda/2022/01/14/bestuurlijk-overleg-coronamaatregelen-cultuursector
Ministeriële Commissie COVID-19,"Sigrid Kaag, Dilan Yeşilgöz-Zegerius, Hanke Bruins Slot, Robbert Dijkgraaf, Kajsa Ollongren, Mark Harbers, Karien van Gennip, Ernst Kuipers, Hugo de Jonge, Conny Helder, Alexandra van Huffelen, Gunay Uslu, Vivianne Heijnen, Maarten van Ooijen",2022-01-14,Den Haag,Media kunnen voor meer informatie contact opnemen via  rvd.openbareagenda.mp@minaz.nl.,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2022/01/14/ministeriele-commissie-covid-19
Bestuurlijk overleg onderwijsbonden,Robbert Dijkgraaf,2022-01-14,Via communicatietechnologie,Minister Dijkgraaf spreekt met de voorzitters van de bonden voor het mbo en hoger onderwijs over de coronamaatregelen.,Bestuurlijk overleg,/actueel/agenda/2022/01/14/bestuurlijk-overleg-onderwijsbonden
Belafspraken met wethouders,Carola Schouten,2022-01-17,via communicatietechnologie,"Minister Schouten heeft verschillende belafspraken met de wethouders van Den Haag, Dordrecht en Rotterdam, Arjen Kapteijn, Peter ...",Gesprek,/actueel/agenda/2022/01/17/belafspraken-met-wethouders
Werkbezoek Wonen met Bouwend Nederland,Hugo de Jonge,2022-01-17,Den Haag,,Werkbezoek,/actueel/agenda/2022/01/17/werkbezoek-wonen-met-bouwend-nederland
Veiligheidsberaad,Dilan Yeşilgöz-Zegerius,2022-01-17,via communicatietechnologie,,Bestuurlijk overleg,/actueel/agenda/2022/01/17/veiligheidsberaad
Bewindspersonenoverleg corona,"Karien van Gennip, Ernst Kuipers",2022-01-17,Den Haag,,Bestuurlijk overleg,/actueel/agenda/2022/01/17/bewindspersonenoverleg-corona
Overleg MP en vice-MP’s,Mark Rutte,2022-01-17,Den Haag,,Bestuurlijk overleg,/actueel/agenda/2022/01/11/overleg-mp-en-vice-mps
Werkbezoek aan mboRijnland,Robbert Dijkgraaf,2022-01-17,Leiden,,Werkbezoek,/actueel/agenda/2022/01/17/werkbezoek-aan-mborijnland
Werkbezoek aan hogeschool Inholland,Robbert Dijkgraaf,2022-01-17,Den Haag,,Werkbezoek,/actueel/agenda/2022/01/17/werkbezoek-aan-hogeschool-inholland
L&V Raad,,2022-01-17,Brussel,,NA,/actueel/agenda/2022/01/17/lv-raad
Eurogroep,Sigrid Kaag,2022-01-17,Brussel (België),Minister Kaag vertegenwoordigt Nederland bij de bijeenkomst van de ministers van Financiën van de 19 eurolanden.,Internationale bijeenkomst,/actueel/agenda/2022/01/17/eurogroep
Gesprek met minister-president Petkov van Bulgarije,Mark Rutte,2022-01-17,Via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/17/gesprek-met-minister-president-petkov-van-bulgarije
Digitaal werkbezoek aan de Sociale Verzekeringsbank rondom bestaanszekerheid en ouderen,Carola Schouten,2022-01-17,via communicatietechnologie,,Werkbezoek,/actueel/agenda/2022/01/17/werkbezoek-sociale-verzekeringsbank-svb
"Kennismakingen met verschillende leden Eerste Kamercommissie Onderwijs, Cultuur en Wetenschap",Gunay Uslu,2022-01-17,Via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/17/kennismakingen-met-verschillende-leden-eerste-kamercommissie-onderwijs-cultuur-en-wetenschap
"Gesprek met tijdelijk zaakgelastigde van de Verenigde Staten, mw. Verloop",Mark Rutte,2022-01-17,Den Haag,,Gesprek,/actueel/agenda/2022/01/17/gesprek-met-tijdelijk-zaakgelastigde-van-de-verenigde-staten-mw.-verloop
Kennismaking met directeur van Kabinet van de Koning,Hugo de Jonge,2022-01-17,Den Haag,,Gesprek,/actueel/agenda/2022/01/17/kennismaking-met-directeur-van-kabinet-van-de-koning
Gesprek met gouverneur van Curaçao,Alexandra van Huffelen,2022-01-17,Online,,Gesprek,/actueel/agenda/2022/01/17/gesprek-met-gouverneur-van-curacao
Werkbezoek bij IKC Toermalijn,,2022-01-17,Franeker,Minister Wiersma gaat langs bij Integraal Kind Centrum (IKC) Toermalijn in Franeker en spreekt met leerkrachten en leerlingen ...,NA,/actueel/agenda/2022/01/17/werkbezoek-bij-ikc-toermalijn
Livesessie over onderwijs,,2022-01-17,Via communicatietechnologie,Minister Wiersma gaat live op Facebook om in gesprek te gaan over het onderwijs. Deelnemers brengen zelf onderwerpen in en ...,NA,/actueel/agenda/2022/01/17/facebook-livesessie
Wetgevingsoverleg innovatiewet strafvordering,"Dilan Yeşilgöz-Zegerius, Franc Weerwind",2022-01-17,Tweede Kamer,,Kamervergadering,/actueel/agenda/2022/01/17/wetgevingsoverleg-innovatiewet-strafvordering
Wekelijks gesprek met de Koning,Mark Rutte,2022-01-17,Den Haag,,Gesprek,/actueel/agenda/2022/01/17/wekelijks-gesprek-met-de-koning
Bezoek regio Groningen,,2022-01-17,Groningen,,NA,/actueel/agenda/2022/01/17/bezoek-regio-groningen
Bewindspersonenstaf,Karien van Gennip,2022-01-17,Den Haag,,Gesprek,/actueel/agenda/2022/01/17/bewindspersonenstaf
Onderraden en ministeriële overleggen,"Mark Rutte, Kajsa Ollongren, Carola Schouten, Wopke Hoekstra, Dilan Yeşilgöz-Zegerius, Hanke Bruins Slot, Karien van Gennip",2022-01-18,Den Haag,,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2022/01/18/onderraden-en-ministeriele-overleggen
Korte kennismaking  met de voorzitter van Glastuinbouw  Nederland,,2022-01-18,Via communicatietechnologie,,NA,/actueel/agenda/2022/01/18/korte-kennismaking-met-de-voorzitter-van-glastuinbouw-nederland
"Debat Eerste Kamer incidentele suppletoire begroting onderwijs, cultuur en wetenschap 2022",Gunay Uslu,2022-01-18,Via communicatietechnologie,"Staatssecretaris Uslu neemt deel aan een debat van de Eerste Kamer over de incidentele suppletoire begroting onderwijs, cultuur ...",Kamervergadering,/actueel/agenda/2022/01/18/debat-eerste-kamer-incidentele-suppletoire-begroting-onderwijs-cultuur-en-wetenschap-2022
Debat regeringsverklaring,"Mark Rutte, Sigrid Kaag, Wopke Hoekstra, Carola Schouten, Dilan Yeşilgöz-Zegerius, Hanke Bruins Slot, Robbert Dijkgraaf, Kajsa Ollongren, Mark Harbers, Micky Adriaansens, Karien van Gennip, Liesje Schreinemacher, Franc Weerwind, Hugo de Jonge, Rob Jetten, Conny Helder, Eric van der Burg, Alexandra van Huffelen, Aukje de Vries, Hans Vijlbrief",2022-01-18,Tweede Kamer,,Kamervergadering,/actueel/agenda/2022/01/18/debat-regeringsverklaring
Ministeriële Commissie COVID-19,"Wopke Hoekstra, Dilan Yeşilgöz-Zegerius, Franc Weerwind, Conny Helder, Eric van der Burg",2022-01-18,Den Haag,,"Ministerraad, onderraad, ministerieel overleg",/actueel/agenda/2022/01/18/ministeriele-commissie-covid-19
"Kennismakingen met verschillende leden Eerste Kamercommissie Onderwijs, Cultuur en Wetenschap",Gunay Uslu,2022-01-18,Den Haag,,Gesprek,/actueel/agenda/2022/01/18/kennismakingen-met-verschillende-leden-eerste-kamercommissie-onderwijs-cultuur-en-wetenschap
Korte kennismaking  met de Directeur-Bestuurder en de beleidsmanager van de Dierenbescherming,,2022-01-18,Via communicatietechnologie,,NA,/actueel/agenda/2022/01/18/korte-kennismaking-met-de-directeur-bestuurder-en-de-beleidsmanager-van-de-dierenbescherming
Kennismaking met voorzitter Eerste Kamer,Gunay Uslu,2022-01-18,Den Haag,,Gesprek,/actueel/agenda/2022/01/18/kennismaking-met-voorzitter-eerste-kamer
Ecofin,Marnix van Rij,2022-01-18,Brussel (België),Staatssecretaris Van Rij vertegenwoordigt Nederland bij de bijeenkomst van de ministers van Financiën van de 27 lidstaten van de ...,Internationale bijeenkomst,/actueel/agenda/2022/01/18/ecofin
In ontvangst nemen petitie Fractie Den Haan over ontkoppeling AOW en minimumloon,Carola Schouten,2022-01-18,Den Haag,,Ontvangst,/actueel/agenda/2022/01/18/in-ontvangst-nemen-petitie-fractie-den-haan-over-ontkoppeling-aow-en-minimumloon
Korte kennismaking met de Bestuurder van de primaire sector vertegenwoordiging Noord Zee Akkoord,,2022-01-18,Via communicatietechnologie,,NA,/actueel/agenda/2022/01/18/korte-kennismaking-met-de-bestuurder-van-de-primaire-sector-vertegenwoordiging-noord-zee-akkoord
Rondetafelgesprek met Centraal Orgaan opvang asielzoekers (COA) en burgemeesters,Eric van der Burg,2022-01-19,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/19/rondetafelgesprek-met-centraal-orgaan-opvang-asielzoekers-coa-en-burgemeesters
Kennismaking met  vicepresident Raad van State,Hanke Bruins Slot,2022-01-19,Den Haag,,Gesprek,/actueel/agenda/2022/01/19/kennismaking-met-vicepresident-raad-van-state
Belafspraak met wethouder Marjolein Moorman,Carola Schouten,2022-01-19,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/19/belafspraak-met-wethouder-marjolein-moorman
Korte kennismaking met de Bestuursvoorzitter van Wageningen University & Research,,2022-01-19,Via communicatietechnologie,,NA,/actueel/agenda/2022/01/19/korte-kennismaking-met-de-bestuursvoorzitter-van-wageningen-university--research
Kennismaking met koning,Hanke Bruins Slot,2022-01-19,Den Haag,,Gesprek,/actueel/agenda/2022/01/19/kennismaking-met-koning
Korte kennismaking met de Voorzitter van VNO-NCW,,2022-01-19,Via communicatietechnologie,,NA,/actueel/agenda/2022/01/19/korte-kennismaking-met-de-voorzitter-van-vno-ncw
Werkbezoek Defensie Gezondheidszorg Opleidings- en Trainingscentrum,Christophe van der Maat,2022-01-19,Hilversum,,Werkbezoek,/actueel/agenda/2022/01/19/werkbezoek-defensie-gezondheidszorg-opleidings--en-trainingscentrum
Gesprek met CEO RTL,Gunay Uslu,2022-01-19,Via communicatietechnologie,Staatssecretaris Uslu gaat in gesprek met de CEO van RTL over grensoverschrijdend gedrag.,Gesprek,/actueel/agenda/2022/01/19/gesprek-met-ceo-rtl
Korte kennismaking met de voorman van de Agractie,,2022-01-19,Via communicatietechnologie,,NA,/actueel/agenda/2022/01/19/korte-kennismaking-met-de-voorman-van-de-agractie
Werkbezoek aan 13e lichte brigade,Kajsa Ollongren,2022-01-19,Oirschot,,Werkbezoek,/actueel/agenda/2022/01/19/werkbezoek-aan-13e-lichte-brigade
Commissiedebat Raad Algemene Zaken,Wopke Hoekstra,2022-01-19,Tweede Kamer,,Kamervergadering,/actueel/agenda/2022/01/19/commissiedebat-raad-algemene-zaken
BWO Regie,,2022-01-19,Den Haag,"BWO Regie met de minister voor Volkshuisvesting en Ruimtelijke Ordening, minister van EZK, minister voor Klimaat en Energie, ...",NA,/actueel/agenda/2022/01/19/bwo-regie
Maatschappelijke klankbordgroep,Ernst Kuipers,2022-01-19,Via communicatietechnologie,"Onder voorzitterschap van de minister van Volksgezondheid, Welzijn en Sport nemen representanten van doelgroepen en sectoren ...",Gesprek,/actueel/agenda/2022/01/19/maatschappelijke-klankbordgroep
Debat regeringsverklaring,"Sigrid Kaag, Wopke Hoekstra, Carola Schouten, Dilan Yeşilgöz-Zegerius, Karien van Gennip, Franc Weerwind, Eric van der Burg, Marnix van Rij, Aukje de Vries",2022-01-19,Tweede Kamer,,Kamervergadering,/actueel/agenda/2022/01/19/debat-regeringsverklaring
Kennismaking met inspecteur-generaal Inspectie Leefomgeving en Transport (ILT),Vivianne Heijnen,2022-01-19,Den Haag,,Gesprek,/actueel/agenda/2022/01/19/kennismaking-met-inspecteur-generaal-inspectie-leefomgeving-en-transport
Kennismaking met directeur van Kabinet van de Koning,Alexandra van Huffelen,2022-01-19,Den Haag,,Gesprek,/actueel/agenda/2022/01/19/kennismaking-met-directeur-van-kabinet-van-de-koning
Overleg met VNG,,2022-01-19,Via communicatietechnologie,Minister Wiersma heeft een overleg over ventilatie met de Vereniging van Nederlandse Gemeenten (VNG).,NA,/actueel/agenda/2022/01/19/overleg-vng
Commissiedebat Raad Buitenlandse Zaken,Wopke Hoekstra,2022-01-19,Tweede Kamer,,Kamervergadering,/actueel/agenda/2022/01/19/commissiedebat-raad-buitenlandse-zaken
Landelijke Regietafel Migratie en Integratie,"Hugo de Jonge, Hanke Bruins Slot, Eric van der Burg",2022-01-19,Den Haag,,Gesprek,/actueel/agenda/2022/01/19/regietafel-migratie
Korte kennismaking met de Directeur van Centraal Bureau Levensmiddelen handel,,2022-01-19,Via communicatietechnologie,,NA,/actueel/agenda/2022/01/19/korte-kennismaking-met-de-directeur-van-centraal-bureau-levensmiddelen-handel
Korte kennismaking met de Voorzitter van het Noordzeeoverleg,,2022-01-19,Via communicatietechnologie,,NA,/actueel/agenda/2022/01/19/korte-kennismaking-met-de-voorzitter-van-het-noordzeeoverleg
Bewindspersonenoverleg fysiek domein,"Mark Harbers, Hugo de Jonge, Vivianne Heijnen",2022-01-19,Den Haag,"Minister De Jonge neemt deel aan het bewindspersonenoverleg op het fysiek domein, met minister Adriaansens (EZK) , minister ...",Gesprek,/actueel/agenda/2022/01/19/bewindspersonenoverleg-fysiek-domein
Gesprek met staatsraad,Hanke Bruins Slot,2022-01-19,Den Haag,Gesprek met staatsraad de heer Van Zwol over de onderwerpen in het domein BZK.  ,Gesprek,/actueel/agenda/2022/01/19/gesprek-met-staatsraad
Kennismakingsgesprek DG RIVM Hans Brug,Maarten van Ooijen,2022-01-20,Via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/20/kennismakingsgesprek-dg-rivm-hans-brug
Kennismaking met diverse Kamerleden,Franc Weerwind,2022-01-20,Den Haag,,Gesprek,/actueel/agenda/2022/01/20/kennismaking-met-diverse-kamerleden
Conference call met Ingrid Thijssen (VNO-NCW) en Tuur Elzinga (FNV),Karien van Gennip,2022-01-20,via communicatietechnologie,,Gesprek,/actueel/agenda/2022/01/20/conference-call-met-ingrid-thijssen-vno-ncw-en-tuur-elzinga-fnv
Kennismaking met regeringscommissaris Informatiehuishouding,Alexandra van Huffelen,2022-01-20,Online,,Gesprek,/actueel/agenda/2022/01/20/kennismaking-met-regeringscommissaris-informatiehuishouding
Videoboodschap opnemen voor Challenge technologie en Inclusie,Carola Schouten,2022-01-20,Den Haag,,Evenement,/actueel/agenda/2022/01/20/videoboodschap-opnemen-voor-challenge-technologie-en-inclusie
Kennismaking met de Koning,Alexandra van Huffelen,2022-01-20,Den Haag,,Gesprek,/actueel/agenda/2022/01/20/kennismaking-met-koning
Landelijke Regietafel Migratie en Integratie,Karien van Gennip,2022-01-20,via communicatietechnologie,,Bestuurlijk overleg,/actueel/agenda/2022/01/20/landelijke-regietafel-migratie-en-integratie
